custom_id,group
438cf--Normal_45-Normal-SRX8182161-pe,Normal
438cf--CRC_24-CRC-SRX8182162-pe,CRC
438cf--PDAC_6-PDAC-SRX8182163-pe,PDAC
438cf--GC_19-GC-SRX8182164-pe,GC
438cf--PDAC_46-PDAC-SRX8182165-pe,PDAC
438cf--Normal_44-Normal-SRX8182166-pe,Normal
438cf--Normal_15-Normal-SRX8182167-pe,Normal
438cf--Normal_17-Normal-SRX8182168-pe,Normal
438cf--Normal_18-Normal-SRX8182169-pe,Normal
438cf--PDAC_45-PDAC-SRX8182170-pe,PDAC
438cf--HCC_20-HCC-SRX8182171-pe,HCC
438cf--HCC_21-HCC-SRX8182172-pe,HCC
438cf--ESCC_22-ESCC-SRX8182173-pe,ESCC
438cf--ESCC_11-ESCC-SRX8182174-pe,ESCC
438cf--PDAC_9-PDAC-SRX8182175-pe,PDAC
438cf--HCC_19-HCC-SRX8182176-pe,HCC
438cf--GC_33-GC-SRX8182177-pe,GC
438cf--GC_29-GC-SRX8182178-pe,GC
438cf--PDAC_8-PDAC-SRX8182179-pe,PDAC
438cf--GC_18-GC-SRX8182180-pe,GC
438cf--CRC_1-CRC-SRX8182181-pe,CRC
438cf--GC_26-GC-SRX8182182-pe,GC
438cf--Normal_16-Normal-SRX8182183-pe,Normal
438cf--Normal_46-Normal-SRX8182184-pe,Normal
438cf--Normal_13-Normal-SRX8182185-pe,Normal
438cf--Normal_14-Normal-SRX8182186-pe,Normal
438cf--CRC_30-CRC-SRX8182187-pe,CRC
438cf--GC_23-GC-SRX8182188-pe,GC
438cf--GC_35-GC-SRX8182189-pe,GC
438cf--PDAC_33-PDAC-SRX8182190-pe,PDAC
438cf--PDAC_51-PDAC-SRX8182191-pe,PDAC
438cf--PDAC_34-PDAC-SRX8182192-pe,PDAC
438cf--CRC_29-CRC-SRX8182193-pe,CRC
438cf--ESCC_7-ESCC-SRX8182194-pe,ESCC
438cf--PDAC_59-PDAC-SRX8182195-pe,PDAC
438cf--PDAC_52-PDAC-SRX8182196-pe,PDAC
438cf--PDAC_65-PDAC-SRX8182197-pe,PDAC
